chinese,english,source,refs_list
不时之需,occasional or periodic needs,JSON,['occasional or periodic needs']
不识大体,not having a clear understanding of the overall situation or big picture,JSON,['not having a clear understanding of the overall situation or big picture']
不识抬举,not knowing how to appreciate or value someone's kindness or goodwill,JSON,"[""not knowing how to appreciate or value someone's kindness or goodwill""]"
不识时务,to not understand or appreciate the current situation or circumstances,JSON,['to not understand or appreciate the current situation or circumstances']
不衫不履,to be improperly dressed or untidy in appearance; also refers to someone who is careless or lacks professionalism in their work,JSON,"['to be improperly dressed or untidy in appearance', 'also refers to someone who is careless or lacks professionalism in their work']"
不上不下,"being in an awkward position, neither too high nor too low",JSON,"['being in an awkward position, neither too high nor too low']"
不声不响,without making any sound or noise,JSON,['without making any sound or noise']
不胜枚举,"too numerous to mention, countless",JSON,"['too numerous to mention, countless']"
不胜其烦,overwhelmed with annoyance or trouble,JSON,['overwhelmed with annoyance or trouble']
不入虎穴，焉得虎子,"No pain, no gain; without taking risks or facing challenges, one cannot achieve success or obtain valuable results",JSON,"['no pain, no gain', 'without taking risks or facing challenges, one cannot achieve success or obtain valuable results']"
不容置喙,not allowed to interject or express one's opinion,JSON,"[""not allowed to interject or express one's opinion""]"
不容置疑,beyond doubt; unquestionable,JSON,"['beyond doubt', 'unquestionable']"
不择手段,using any means necessary,JSON,['using any means necessary']
不在话下,"""not worth mentioning"" or ""a piece of cake""",JSON,"['not worth mentioning', 'a piece of cake']"
不足挂齿,not worth mentioning,JSON,['not worth mentioning']
不足为凭,Not enough to serve as evidence,JSON,['not enough to serve as evidence']
不足为奇,not surprising or nothing to be surprised about,JSON,['not surprising or nothing to be surprised about']
不足为训,Not worth mentioning or not worth teaching,JSON,['not worth mentioning or not worth teaching']
不塞不流，不止不行,"Without blocking, there is no flow; without stopping, there is no progress",JSON,"['without blocking, there is no flow', 'without stopping, there is no progress']"
不三不四,neither good nor bad; being of suspicious character,JSON,"['neither good nor bad', 'being of suspicious character']"
不速之客,unexpected guest,JSON,['unexpected guest']
不二法门,the only correct or best method/way,JSON,['the only correct or best method/way']
不亦乐乎,extremely happy; enjoying oneself immensely,JSON,"['extremely happy', 'enjoying oneself immensely']"
不易之论,a rare and profound theory or opinion,JSON,['a rare and profound theory or opinion']
不义之财,ill-gotten gains; wealth acquired through unjust or dishonest means,JSON,"['ill-gotten gains', 'wealth acquired through unjust or dishonest means']"
不一而足,"more than one, and not just limited to one",JSON,"['more than one, and not just limited to one']"
不翼而飞,disappeared without a trace; vanished suddenly,JSON,"['disappeared without a trace', 'vanished suddenly']"
不以为然,not think it is right or acceptable,JSON,['not think it is right or acceptable']
不遗余力,spare no effort; do everything possible,JSON,"['spare no effort', 'do everything possible']"
不由分说,without further explanation or discussion; not allowing any objections or arguments,JSON,"['without further explanation or discussion', 'not allowing any objections or arguments']"
不由自主,"unable to control oneself, involuntarily",JSON,"['unable to control oneself, involuntarily']"
不厌其烦,willing to put in the effort and not get tired of it; being patient and persistent,JSON,"['willing to put in the effort and not get tired of it', 'being patient and persistent']"
不厌其详,"being meticulous and thorough, not getting tired of being detailed",JSON,"['being meticulous and thorough, not getting tired of being detailed']"
不言而喻,"obvious or self-evident, not needing to be explained in words",JSON,"['obvious or self-evident, not needing to be explained in words']"
不务空名,not just talking about empty words,JSON,['not just talking about empty words']
不无小补,making some minor adjustments or improvements,JSON,['making some minor adjustments or improvements']
不务正业,not focused on one's work or responsibilities,JSON,"[""not focused on one's work or responsibilities""]"
不为已甚,not taking things too far or not going too extreme,JSON,['not taking things too far or not going too extreme']
不闻不问,not pay attention to or show interest in,JSON,['not pay attention to or show interest in']
不约而同,simultaneously and without prior arrangement,JSON,['simultaneously and without prior arrangement']
世态炎凉,the world is cold and heartless; the reality of life is harsh and cruel,JSON,"['the world is cold and heartless', 'the reality of life is harsh and cruel']"
世世代代,from generation to generation,JSON,['from generation to generation']
世上无难事，只怕有心人,There's nothing difficult in the world as long as one is determined.,JSON,"[""there's nothing difficult in the world as long as one is determined.""]"
世外桃源,an ideal and peaceful place away from the troubles and conflicts of the world,JSON,['an ideal and peaceful place away from the troubles and conflicts of the world']
丢盔弃甲,"to flee without fighting, to abandon one's weapons and armor",JSON,"[""to flee without fighting, to abandon one's weapons and armor""]"
丢卒保车,to sacrifice a pawn to save the chariot,JSON,['to sacrifice a pawn to save the chariot']
并驾齐驱,advancing side by side; keeping pace with each other; progressing at the same speed,JSON,"['advancing side by side', 'keeping pace with each other', 'progressing at the same speed']"
